housingprice_index,REF_DATE,City,Province,Housing_Type,PRICE_INDEX
0,1981-01-01,St. John's,Newfoundland and Labrador,House only,37
1,1981-01-01,St. John's,Newfoundland and Labrador,Land only,31
2,1981-01-01,Saint John,Fredericton,House only,61
3,1981-01-01,Saint John,Fredericton,Land only,38
4,1981-01-01,Québec,Quebec,House only,34
5,1981-01-01,Québec,Quebec,Land only,19
6,1981-01-01,Montréal,Quebec,House only,30
7,1981-01-01,Montréal,Quebec,Land only,20
8,1981-01-01,Ottawa-Gatineau,Ontario part,House only,30
9,1981-01-01,Ottawa-Gatineau,Ontario part,Land only,39
10,1981-01-01,Toronto,Ontario,House only,22
11,1981-01-01,Toronto,Ontario,Land only,39
12,1981-01-01,Hamilton,Ontario,House only,24
13,1981-01-01,Hamilton,Ontario,Land only,46
14,1981-01-01,St. Catharines-Niagara,Ontario,House only,28
15,1981-01-01,St. Catharines-Niagara,Ontario,Land only,35
16,1981-01-01,Kitchener-Cambridge-Waterloo,Ontario,House only,30
17,1981-01-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
18,1981-01-01,London,Ontario,House only,27
19,1981-01-01,London,Ontario,Land only,51
20,1981-01-01,Windsor,Ontario,House only,64
21,1981-01-01,Windsor,Ontario,Land only,47
22,1981-01-01,Greater Sudbury,Ontario,House only,54
23,1981-01-01,Greater Sudbury,Ontario,Land only,51
24,1981-01-01,Winnipeg,Manitoba,House only,29
25,1981-01-01,Winnipeg,Manitoba,Land only,18
26,1981-01-01,Regina,Saskatchewan,House only,20
27,1981-01-01,Regina,Saskatchewan,Land only,16
28,1981-01-01,Saskatoon,Saskatchewan,House only,35
29,1981-01-01,Saskatoon,Saskatchewan,Land only,26
30,1981-01-01,Calgary,Alberta,House only,27
31,1981-01-01,Calgary,Alberta,Land only,19
32,1981-01-01,Edmonton,Alberta,House only,36
33,1981-01-01,Edmonton,Alberta,Land only,32
34,1981-01-01,Vancouver,British Columbia,House only,96
35,1981-01-01,Vancouver,British Columbia,Land only,83
36,1981-01-01,Victoria,British Columbia,House only,206
37,1981-01-01,Victoria,British Columbia,Land only,50
38,1981-02-01,St. John's,Newfoundland and Labrador,House only,37
39,1981-02-01,St. John's,Newfoundland and Labrador,Land only,31
40,1981-02-01,Saint John,Fredericton,House only,62
41,1981-02-01,Saint John,Fredericton,Land only,38
42,1981-02-01,Québec,Quebec,House only,35
43,1981-02-01,Québec,Quebec,Land only,20
44,1981-02-01,Montréal,Quebec,House only,30
45,1981-02-01,Montréal,Quebec,Land only,20
46,1981-02-01,Ottawa-Gatineau,Ontario part,House only,30
47,1981-02-01,Ottawa-Gatineau,Ontario part,Land only,39
48,1981-02-01,Toronto,Ontario,House only,23
49,1981-02-01,Toronto,Ontario,Land only,39
50,1981-02-01,Hamilton,Ontario,House only,24
51,1981-02-01,Hamilton,Ontario,Land only,46
52,1981-02-01,St. Catharines-Niagara,Ontario,House only,28
53,1981-02-01,St. Catharines-Niagara,Ontario,Land only,35
54,1981-02-01,Kitchener-Cambridge-Waterloo,Ontario,House only,30
55,1981-02-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
56,1981-02-01,London,Ontario,House only,27
57,1981-02-01,London,Ontario,Land only,51
58,1981-02-01,Windsor,Ontario,House only,64
59,1981-02-01,Windsor,Ontario,Land only,47
60,1981-02-01,Greater Sudbury,Ontario,House only,55
61,1981-02-01,Greater Sudbury,Ontario,Land only,52
62,1981-02-01,Winnipeg,Manitoba,House only,29
63,1981-02-01,Winnipeg,Manitoba,Land only,18
64,1981-02-01,Regina,Saskatchewan,House only,21
65,1981-02-01,Regina,Saskatchewan,Land only,17
66,1981-02-01,Saskatoon,Saskatchewan,House only,35
67,1981-02-01,Saskatoon,Saskatchewan,Land only,26
68,1981-02-01,Calgary,Alberta,House only,28
69,1981-02-01,Calgary,Alberta,Land only,19
70,1981-02-01,Edmonton,Alberta,House only,36
71,1981-02-01,Edmonton,Alberta,Land only,32
72,1981-02-01,Vancouver,British Columbia,House only,97
73,1981-02-01,Vancouver,British Columbia,Land only,85
74,1981-02-01,Victoria,British Columbia,House only,209
75,1981-02-01,Victoria,British Columbia,Land only,50
76,1981-03-01,St. John's,Newfoundland and Labrador,House only,37
77,1981-03-01,St. John's,Newfoundland and Labrador,Land only,31
78,1981-03-01,Saint John,Fredericton,House only,62
79,1981-03-01,Saint John,Fredericton,Land only,38
80,1981-03-01,Québec,Quebec,House only,35
81,1981-03-01,Québec,Quebec,Land only,20
82,1981-03-01,Montréal,Quebec,House only,30
83,1981-03-01,Montréal,Quebec,Land only,21
84,1981-03-01,Ottawa-Gatineau,Ontario part,House only,31
85,1981-03-01,Ottawa-Gatineau,Ontario part,Land only,40
86,1981-03-01,Toronto,Ontario,House only,24
87,1981-03-01,Toronto,Ontario,Land only,39
88,1981-03-01,Hamilton,Ontario,House only,25
89,1981-03-01,Hamilton,Ontario,Land only,46
90,1981-03-01,St. Catharines-Niagara,Ontario,House only,28
91,1981-03-01,St. Catharines-Niagara,Ontario,Land only,35
92,1981-03-01,Kitchener-Cambridge-Waterloo,Ontario,House only,30
93,1981-03-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
94,1981-03-01,London,Ontario,House only,28
95,1981-03-01,London,Ontario,Land only,51
96,1981-03-01,Windsor,Ontario,House only,64
97,1981-03-01,Windsor,Ontario,Land only,47
98,1981-03-01,Greater Sudbury,Ontario,House only,55
99,1981-03-01,Greater Sudbury,Ontario,Land only,52
100,1981-03-01,Winnipeg,Manitoba,House only,30
101,1981-03-01,Winnipeg,Manitoba,Land only,18
102,1981-03-01,Regina,Saskatchewan,House only,21
103,1981-03-01,Regina,Saskatchewan,Land only,17
104,1981-03-01,Saskatoon,Saskatchewan,House only,36
105,1981-03-01,Saskatoon,Saskatchewan,Land only,26
106,1981-03-01,Calgary,Alberta,House only,28
107,1981-03-01,Calgary,Alberta,Land only,19
108,1981-03-01,Edmonton,Alberta,House only,36
109,1981-03-01,Edmonton,Alberta,Land only,32
110,1981-03-01,Vancouver,British Columbia,House only,97
111,1981-03-01,Vancouver,British Columbia,Land only,85
112,1981-03-01,Victoria,British Columbia,House only,210
113,1981-03-01,Victoria,British Columbia,Land only,50
114,1981-04-01,St. John's,Newfoundland and Labrador,House only,37
115,1981-04-01,St. John's,Newfoundland and Labrador,Land only,31
116,1981-04-01,Saint John,Fredericton,House only,62
117,1981-04-01,Saint John,Fredericton,Land only,38
118,1981-04-01,Québec,Quebec,House only,35
119,1981-04-01,Québec,Quebec,Land only,20
120,1981-04-01,Montréal,Quebec,House only,30
121,1981-04-01,Montréal,Quebec,Land only,21
122,1981-04-01,Ottawa-Gatineau,Ontario part,House only,32
123,1981-04-01,Ottawa-Gatineau,Ontario part,Land only,40
124,1981-04-01,Toronto,Ontario,House only,26
125,1981-04-01,Toronto,Ontario,Land only,40
126,1981-04-01,Hamilton,Ontario,House only,25
127,1981-04-01,Hamilton,Ontario,Land only,46
128,1981-04-01,St. Catharines-Niagara,Ontario,House only,28
129,1981-04-01,St. Catharines-Niagara,Ontario,Land only,35
130,1981-04-01,Kitchener-Cambridge-Waterloo,Ontario,House only,31
131,1981-04-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
132,1981-04-01,London,Ontario,House only,28
133,1981-04-01,London,Ontario,Land only,51
134,1981-04-01,Windsor,Ontario,House only,63
135,1981-04-01,Windsor,Ontario,Land only,47
136,1981-04-01,Greater Sudbury,Ontario,House only,57
137,1981-04-01,Greater Sudbury,Ontario,Land only,53
138,1981-04-01,Winnipeg,Manitoba,House only,30
139,1981-04-01,Winnipeg,Manitoba,Land only,18
140,1981-04-01,Regina,Saskatchewan,House only,22
141,1981-04-01,Regina,Saskatchewan,Land only,17
142,1981-04-01,Saskatoon,Saskatchewan,House only,37
143,1981-04-01,Saskatoon,Saskatchewan,Land only,27
144,1981-04-01,Calgary,Alberta,House only,30
145,1981-04-01,Calgary,Alberta,Land only,19
146,1981-04-01,Edmonton,Alberta,House only,36
147,1981-04-01,Edmonton,Alberta,Land only,32
148,1981-04-01,Vancouver,British Columbia,House only,97
149,1981-04-01,Vancouver,British Columbia,Land only,84
150,1981-04-01,Victoria,British Columbia,House only,210
151,1981-04-01,Victoria,British Columbia,Land only,50
152,1981-05-01,St. John's,Newfoundland and Labrador,House only,37
153,1981-05-01,St. John's,Newfoundland and Labrador,Land only,31
154,1981-05-01,Saint John,Fredericton,House only,63
155,1981-05-01,Saint John,Fredericton,Land only,38
156,1981-05-01,Québec,Quebec,House only,36
157,1981-05-01,Québec,Quebec,Land only,21
158,1981-05-01,Montréal,Quebec,House only,31
159,1981-05-01,Montréal,Quebec,Land only,21
160,1981-05-01,Ottawa-Gatineau,Ontario part,House only,32
161,1981-05-01,Ottawa-Gatineau,Ontario part,Land only,40
162,1981-05-01,Toronto,Ontario,House only,27
163,1981-05-01,Toronto,Ontario,Land only,40
164,1981-05-01,Hamilton,Ontario,House only,26
165,1981-05-01,Hamilton,Ontario,Land only,50
166,1981-05-01,St. Catharines-Niagara,Ontario,House only,28
167,1981-05-01,St. Catharines-Niagara,Ontario,Land only,35
168,1981-05-01,Kitchener-Cambridge-Waterloo,Ontario,House only,31
169,1981-05-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
170,1981-05-01,London,Ontario,House only,28
171,1981-05-01,London,Ontario,Land only,51
172,1981-05-01,Windsor,Ontario,House only,63
173,1981-05-01,Windsor,Ontario,Land only,47
174,1981-05-01,Greater Sudbury,Ontario,House only,57
175,1981-05-01,Greater Sudbury,Ontario,Land only,53
176,1981-05-01,Winnipeg,Manitoba,House only,31
177,1981-05-01,Winnipeg,Manitoba,Land only,18
178,1981-05-01,Regina,Saskatchewan,House only,23
179,1981-05-01,Regina,Saskatchewan,Land only,17
180,1981-05-01,Saskatoon,Saskatchewan,House only,37
181,1981-05-01,Saskatoon,Saskatchewan,Land only,27
182,1981-05-01,Calgary,Alberta,House only,30
183,1981-05-01,Calgary,Alberta,Land only,19
184,1981-05-01,Edmonton,Alberta,House only,38
185,1981-05-01,Edmonton,Alberta,Land only,33
186,1981-05-01,Vancouver,British Columbia,House only,97
187,1981-05-01,Vancouver,British Columbia,Land only,84
188,1981-05-01,Victoria,British Columbia,House only,212
189,1981-05-01,Victoria,British Columbia,Land only,52
190,1981-06-01,St. John's,Newfoundland and Labrador,House only,37
191,1981-06-01,St. John's,Newfoundland and Labrador,Land only,31
192,1981-06-01,Saint John,Fredericton,House only,63
193,1981-06-01,Saint John,Fredericton,Land only,38
194,1981-06-01,Québec,Quebec,House only,36
195,1981-06-01,Québec,Quebec,Land only,21
196,1981-06-01,Montréal,Quebec,House only,31
197,1981-06-01,Montréal,Quebec,Land only,21
198,1981-06-01,Ottawa-Gatineau,Ontario part,House only,33
199,1981-06-01,Ottawa-Gatineau,Ontario part,Land only,40
200,1981-06-01,Toronto,Ontario,House only,27
201,1981-06-01,Toronto,Ontario,Land only,40
202,1981-06-01,Hamilton,Ontario,House only,26
203,1981-06-01,Hamilton,Ontario,Land only,50
204,1981-06-01,St. Catharines-Niagara,Ontario,House only,29
205,1981-06-01,St. Catharines-Niagara,Ontario,Land only,35
206,1981-06-01,Kitchener-Cambridge-Waterloo,Ontario,House only,31
207,1981-06-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
208,1981-06-01,London,Ontario,House only,29
209,1981-06-01,London,Ontario,Land only,51
210,1981-06-01,Windsor,Ontario,House only,63
211,1981-06-01,Windsor,Ontario,Land only,47
212,1981-06-01,Greater Sudbury,Ontario,House only,57
213,1981-06-01,Greater Sudbury,Ontario,Land only,53
214,1981-06-01,Winnipeg,Manitoba,House only,31
215,1981-06-01,Winnipeg,Manitoba,Land only,19
216,1981-06-01,Regina,Saskatchewan,House only,23
217,1981-06-01,Regina,Saskatchewan,Land only,17
218,1981-06-01,Saskatoon,Saskatchewan,House only,38
219,1981-06-01,Saskatoon,Saskatchewan,Land only,27
220,1981-06-01,Calgary,Alberta,House only,30
221,1981-06-01,Calgary,Alberta,Land only,20
222,1981-06-01,Edmonton,Alberta,House only,38
223,1981-06-01,Edmonton,Alberta,Land only,33
224,1981-06-01,Vancouver,British Columbia,House only,98
225,1981-06-01,Vancouver,British Columbia,Land only,84
226,1981-06-01,Victoria,British Columbia,House only,210
227,1981-06-01,Victoria,British Columbia,Land only,52
228,1981-07-01,St. John's,Newfoundland and Labrador,House only,37
229,1981-07-01,St. John's,Newfoundland and Labrador,Land only,31
230,1981-07-01,Saint John,Fredericton,House only,63
231,1981-07-01,Saint John,Fredericton,Land only,38
232,1981-07-01,Québec,Quebec,House only,36
233,1981-07-01,Québec,Quebec,Land only,21
234,1981-07-01,Montréal,Quebec,House only,31
235,1981-07-01,Montréal,Quebec,Land only,21
236,1981-07-01,Ottawa-Gatineau,Ontario part,House only,33
237,1981-07-01,Ottawa-Gatineau,Ontario part,Land only,40
238,1981-07-01,Toronto,Ontario,House only,27
239,1981-07-01,Toronto,Ontario,Land only,40
240,1981-07-01,Hamilton,Ontario,House only,26
241,1981-07-01,Hamilton,Ontario,Land only,50
242,1981-07-01,St. Catharines-Niagara,Ontario,House only,29
243,1981-07-01,St. Catharines-Niagara,Ontario,Land only,35
244,1981-07-01,Kitchener-Cambridge-Waterloo,Ontario,House only,31
245,1981-07-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
246,1981-07-01,London,Ontario,House only,29
247,1981-07-01,London,Ontario,Land only,51
248,1981-07-01,Windsor,Ontario,House only,63
249,1981-07-01,Windsor,Ontario,Land only,47
250,1981-07-01,Greater Sudbury,Ontario,House only,57
251,1981-07-01,Greater Sudbury,Ontario,Land only,53
252,1981-07-01,Winnipeg,Manitoba,House only,32
253,1981-07-01,Winnipeg,Manitoba,Land only,19
254,1981-07-01,Regina,Saskatchewan,House only,23
255,1981-07-01,Regina,Saskatchewan,Land only,17
256,1981-07-01,Saskatoon,Saskatchewan,House only,39
257,1981-07-01,Saskatoon,Saskatchewan,Land only,27
258,1981-07-01,Calgary,Alberta,House only,30
259,1981-07-01,Calgary,Alberta,Land only,20
260,1981-07-01,Edmonton,Alberta,House only,38
261,1981-07-01,Edmonton,Alberta,Land only,33
262,1981-07-01,Vancouver,British Columbia,House only,97
263,1981-07-01,Vancouver,British Columbia,Land only,84
264,1981-07-01,Victoria,British Columbia,House only,206
265,1981-07-01,Victoria,British Columbia,Land only,52
266,1981-08-01,St. John's,Newfoundland and Labrador,House only,37
267,1981-08-01,St. John's,Newfoundland and Labrador,Land only,31
268,1981-08-01,Saint John,Fredericton,House only,64
269,1981-08-01,Saint John,Fredericton,Land only,39
270,1981-08-01,Québec,Quebec,House only,36
271,1981-08-01,Québec,Quebec,Land only,21
272,1981-08-01,Montréal,Quebec,House only,31
273,1981-08-01,Montréal,Quebec,Land only,21
274,1981-08-01,Ottawa-Gatineau,Ontario part,House only,33
275,1981-08-01,Ottawa-Gatineau,Ontario part,Land only,40
276,1981-08-01,Toronto,Ontario,House only,28
277,1981-08-01,Toronto,Ontario,Land only,40
278,1981-08-01,Hamilton,Ontario,House only,26
279,1981-08-01,Hamilton,Ontario,Land only,50
280,1981-08-01,St. Catharines-Niagara,Ontario,House only,29
281,1981-08-01,St. Catharines-Niagara,Ontario,Land only,35
282,1981-08-01,Kitchener-Cambridge-Waterloo,Ontario,House only,31
283,1981-08-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,43
284,1981-08-01,London,Ontario,House only,29
285,1981-08-01,London,Ontario,Land only,51
286,1981-08-01,Windsor,Ontario,House only,63
287,1981-08-01,Windsor,Ontario,Land only,47
288,1981-08-01,Greater Sudbury,Ontario,House only,57
289,1981-08-01,Greater Sudbury,Ontario,Land only,53
290,1981-08-01,Winnipeg,Manitoba,House only,32
291,1981-08-01,Winnipeg,Manitoba,Land only,19
292,1981-08-01,Regina,Saskatchewan,House only,23
293,1981-08-01,Regina,Saskatchewan,Land only,18
294,1981-08-01,Saskatoon,Saskatchewan,House only,39
295,1981-08-01,Saskatoon,Saskatchewan,Land only,27
296,1981-08-01,Calgary,Alberta,House only,30
297,1981-08-01,Calgary,Alberta,Land only,20
298,1981-08-01,Edmonton,Alberta,House only,38
299,1981-08-01,Edmonton,Alberta,Land only,33
300,1981-08-01,Vancouver,British Columbia,House only,89
301,1981-08-01,Vancouver,British Columbia,Land only,83
302,1981-08-01,Victoria,British Columbia,House only,206
303,1981-08-01,Victoria,British Columbia,Land only,52
304,1981-09-01,St. John's,Newfoundland and Labrador,House only,37
305,1981-09-01,St. John's,Newfoundland and Labrador,Land only,31
306,1981-09-01,Saint John,Fredericton,House only,64
307,1981-09-01,Saint John,Fredericton,Land only,39
308,1981-09-01,Québec,Quebec,House only,36
309,1981-09-01,Québec,Quebec,Land only,21
310,1981-09-01,Montréal,Quebec,House only,32
311,1981-09-01,Montréal,Quebec,Land only,22
312,1981-09-01,Ottawa-Gatineau,Ontario part,House only,33
313,1981-09-01,Ottawa-Gatineau,Ontario part,Land only,40
314,1981-09-01,Toronto,Ontario,House only,28
315,1981-09-01,Toronto,Ontario,Land only,40
316,1981-09-01,Hamilton,Ontario,House only,26
317,1981-09-01,Hamilton,Ontario,Land only,50
318,1981-09-01,St. Catharines-Niagara,Ontario,House only,29
319,1981-09-01,St. Catharines-Niagara,Ontario,Land only,35
320,1981-09-01,Kitchener-Cambridge-Waterloo,Ontario,House only,31
321,1981-09-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,44
322,1981-09-01,London,Ontario,House only,29
323,1981-09-01,London,Ontario,Land only,52
324,1981-09-01,Windsor,Ontario,House only,60
325,1981-09-01,Windsor,Ontario,Land only,47
326,1981-09-01,Greater Sudbury,Ontario,House only,57
327,1981-09-01,Greater Sudbury,Ontario,Land only,53
328,1981-09-01,Winnipeg,Manitoba,House only,32
329,1981-09-01,Winnipeg,Manitoba,Land only,19
330,1981-09-01,Regina,Saskatchewan,House only,23
331,1981-09-01,Regina,Saskatchewan,Land only,18
332,1981-09-01,Saskatoon,Saskatchewan,House only,39
333,1981-09-01,Saskatoon,Saskatchewan,Land only,27
334,1981-09-01,Calgary,Alberta,House only,30
335,1981-09-01,Calgary,Alberta,Land only,20
336,1981-09-01,Edmonton,Alberta,House only,38
337,1981-09-01,Edmonton,Alberta,Land only,33
338,1981-09-01,Vancouver,British Columbia,House only,89
339,1981-09-01,Vancouver,British Columbia,Land only,78
340,1981-09-01,Victoria,British Columbia,House only,200
341,1981-09-01,Victoria,British Columbia,Land only,49
342,1981-10-01,St. John's,Newfoundland and Labrador,House only,37
343,1981-10-01,St. John's,Newfoundland and Labrador,Land only,31
344,1981-10-01,Saint John,Fredericton,House only,62
345,1981-10-01,Saint John,Fredericton,Land only,39
346,1981-10-01,Québec,Quebec,House only,36
347,1981-10-01,Québec,Quebec,Land only,21
348,1981-10-01,Montréal,Quebec,House only,32
349,1981-10-01,Montréal,Quebec,Land only,22
350,1981-10-01,Ottawa-Gatineau,Ontario part,House only,33
351,1981-10-01,Ottawa-Gatineau,Ontario part,Land only,40
352,1981-10-01,Toronto,Ontario,House only,28
353,1981-10-01,Toronto,Ontario,Land only,40
354,1981-10-01,Hamilton,Ontario,House only,26
355,1981-10-01,Hamilton,Ontario,Land only,50
356,1981-10-01,St. Catharines-Niagara,Ontario,House only,29
357,1981-10-01,St. Catharines-Niagara,Ontario,Land only,35
358,1981-10-01,Kitchener-Cambridge-Waterloo,Ontario,House only,31
359,1981-10-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,44
360,1981-10-01,London,Ontario,House only,29
361,1981-10-01,London,Ontario,Land only,52
362,1981-10-01,Windsor,Ontario,House only,60
363,1981-10-01,Windsor,Ontario,Land only,47
364,1981-10-01,Greater Sudbury,Ontario,House only,57
365,1981-10-01,Greater Sudbury,Ontario,Land only,53
366,1981-10-01,Winnipeg,Manitoba,House only,32
367,1981-10-01,Winnipeg,Manitoba,Land only,19
368,1981-10-01,Regina,Saskatchewan,House only,23
369,1981-10-01,Regina,Saskatchewan,Land only,18
370,1981-10-01,Saskatoon,Saskatchewan,House only,39
371,1981-10-01,Saskatoon,Saskatchewan,Land only,27
372,1981-10-01,Calgary,Alberta,House only,30
373,1981-10-01,Calgary,Alberta,Land only,20
374,1981-10-01,Edmonton,Alberta,House only,38
375,1981-10-01,Edmonton,Alberta,Land only,33
376,1981-10-01,Vancouver,British Columbia,House only,85
377,1981-10-01,Vancouver,British Columbia,Land only,78
378,1981-10-01,Victoria,British Columbia,House only,200
379,1981-10-01,Victoria,British Columbia,Land only,49
380,1981-11-01,St. John's,Newfoundland and Labrador,House only,38
381,1981-11-01,St. John's,Newfoundland and Labrador,Land only,31
382,1981-11-01,Saint John,Fredericton,House only,62
383,1981-11-01,Saint John,Fredericton,Land only,39
384,1981-11-01,Québec,Quebec,House only,36
385,1981-11-01,Québec,Quebec,Land only,21
386,1981-11-01,Montréal,Quebec,House only,32
387,1981-11-01,Montréal,Quebec,Land only,22
388,1981-11-01,Ottawa-Gatineau,Ontario part,House only,35
389,1981-11-01,Ottawa-Gatineau,Ontario part,Land only,41
390,1981-11-01,Toronto,Ontario,House only,28
391,1981-11-01,Toronto,Ontario,Land only,40
392,1981-11-01,Hamilton,Ontario,House only,26
393,1981-11-01,Hamilton,Ontario,Land only,50
394,1981-11-01,St. Catharines-Niagara,Ontario,House only,29
395,1981-11-01,St. Catharines-Niagara,Ontario,Land only,35
396,1981-11-01,Kitchener-Cambridge-Waterloo,Ontario,House only,32
397,1981-11-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,44
398,1981-11-01,London,Ontario,House only,29
399,1981-11-01,London,Ontario,Land only,52
400,1981-11-01,Windsor,Ontario,House only,60
401,1981-11-01,Windsor,Ontario,Land only,47
402,1981-11-01,Greater Sudbury,Ontario,House only,58
403,1981-11-01,Greater Sudbury,Ontario,Land only,54
404,1981-11-01,Winnipeg,Manitoba,House only,32
405,1981-11-01,Winnipeg,Manitoba,Land only,19
406,1981-11-01,Regina,Saskatchewan,House only,23
407,1981-11-01,Regina,Saskatchewan,Land only,19
408,1981-11-01,Saskatoon,Saskatchewan,House only,39
409,1981-11-01,Saskatoon,Saskatchewan,Land only,27
410,1981-11-01,Calgary,Alberta,House only,31
411,1981-11-01,Calgary,Alberta,Land only,20
412,1981-11-01,Edmonton,Alberta,House only,39
413,1981-11-01,Edmonton,Alberta,Land only,33
414,1981-11-01,Vancouver,British Columbia,House only,81
415,1981-11-01,Vancouver,British Columbia,Land only,74
416,1981-11-01,Victoria,British Columbia,House only,198
417,1981-11-01,Victoria,British Columbia,Land only,49
418,1981-12-01,St. John's,Newfoundland and Labrador,House only,38
419,1981-12-01,St. John's,Newfoundland and Labrador,Land only,31
420,1981-12-01,Saint John,Fredericton,House only,62
421,1981-12-01,Saint John,Fredericton,Land only,39
422,1981-12-01,Québec,Quebec,House only,36
423,1981-12-01,Québec,Quebec,Land only,21
424,1981-12-01,Montréal,Quebec,House only,33
425,1981-12-01,Montréal,Quebec,Land only,22
426,1981-12-01,Ottawa-Gatineau,Ontario part,House only,35
427,1981-12-01,Ottawa-Gatineau,Ontario part,Land only,41
428,1981-12-01,Toronto,Ontario,House only,28
429,1981-12-01,Toronto,Ontario,Land only,40
430,1981-12-01,Hamilton,Ontario,House only,26
431,1981-12-01,Hamilton,Ontario,Land only,50
432,1981-12-01,St. Catharines-Niagara,Ontario,House only,29
433,1981-12-01,St. Catharines-Niagara,Ontario,Land only,35
434,1981-12-01,Kitchener-Cambridge-Waterloo,Ontario,House only,32
435,1981-12-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,44
436,1981-12-01,London,Ontario,House only,29
437,1981-12-01,London,Ontario,Land only,52
438,1981-12-01,Windsor,Ontario,House only,60
439,1981-12-01,Windsor,Ontario,Land only,47
440,1981-12-01,Greater Sudbury,Ontario,House only,58
441,1981-12-01,Greater Sudbury,Ontario,Land only,54
442,1981-12-01,Winnipeg,Manitoba,House only,33
443,1981-12-01,Winnipeg,Manitoba,Land only,19
444,1981-12-01,Regina,Saskatchewan,House only,23
445,1981-12-01,Regina,Saskatchewan,Land only,19
446,1981-12-01,Saskatoon,Saskatchewan,House only,39
447,1981-12-01,Saskatoon,Saskatchewan,Land only,27
448,1981-12-01,Calgary,Alberta,House only,31
449,1981-12-01,Calgary,Alberta,Land only,20
450,1981-12-01,Edmonton,Alberta,House only,39
451,1981-12-01,Edmonton,Alberta,Land only,33
452,1981-12-01,Vancouver,British Columbia,House only,80
453,1981-12-01,Vancouver,British Columbia,Land only,74
454,1981-12-01,Victoria,British Columbia,House only,204
455,1981-12-01,Victoria,British Columbia,Land only,49
456,1982-01-01,St. John's,Newfoundland and Labrador,House only,38
457,1982-01-01,St. John's,Newfoundland and Labrador,Land only,31
458,1982-01-01,Saint John,Fredericton,House only,62
459,1982-01-01,Saint John,Fredericton,Land only,39
460,1982-01-01,Québec,Quebec,House only,37
461,1982-01-01,Québec,Quebec,Land only,21
462,1982-01-01,Montréal,Quebec,House only,33
463,1982-01-01,Montréal,Quebec,Land only,22
464,1982-01-01,Ottawa-Gatineau,Ontario part,House only,36
465,1982-01-01,Ottawa-Gatineau,Ontario part,Land only,41
466,1982-01-01,Toronto,Ontario,House only,28
467,1982-01-01,Toronto,Ontario,Land only,40
468,1982-01-01,Hamilton,Ontario,House only,26
469,1982-01-01,Hamilton,Ontario,Land only,50
470,1982-01-01,St. Catharines-Niagara,Ontario,House only,29
471,1982-01-01,St. Catharines-Niagara,Ontario,Land only,35
472,1982-01-01,Kitchener-Cambridge-Waterloo,Ontario,House only,32
473,1982-01-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,44
474,1982-01-01,London,Ontario,House only,29
475,1982-01-01,London,Ontario,Land only,52
476,1982-01-01,Windsor,Ontario,House only,60
477,1982-01-01,Windsor,Ontario,Land only,47
478,1982-01-01,Greater Sudbury,Ontario,House only,58
479,1982-01-01,Greater Sudbury,Ontario,Land only,54
480,1982-01-01,Winnipeg,Manitoba,House only,33
481,1982-01-01,Winnipeg,Manitoba,Land only,19
482,1982-01-01,Regina,Saskatchewan,House only,23
483,1982-01-01,Regina,Saskatchewan,Land only,19
484,1982-01-01,Saskatoon,Saskatchewan,House only,38
485,1982-01-01,Saskatoon,Saskatchewan,Land only,28
486,1982-01-01,Calgary,Alberta,House only,31
487,1982-01-01,Calgary,Alberta,Land only,20
488,1982-01-01,Edmonton,Alberta,House only,39
489,1982-01-01,Edmonton,Alberta,Land only,33
490,1982-01-01,Vancouver,British Columbia,House only,79
491,1982-01-01,Vancouver,British Columbia,Land only,74
492,1982-01-01,Victoria,British Columbia,House only,204
493,1982-01-01,Victoria,British Columbia,Land only,49
494,1982-02-01,St. John's,Newfoundland and Labrador,House only,38
495,1982-02-01,St. John's,Newfoundland and Labrador,Land only,31
496,1982-02-01,Saint John,Fredericton,House only,62
497,1982-02-01,Saint John,Fredericton,Land only,39
498,1982-02-01,Québec,Quebec,House only,37
499,1982-02-01,Québec,Quebec,Land only,21
500,1982-02-01,Montréal,Quebec,House only,33
501,1982-02-01,Montréal,Quebec,Land only,23
502,1982-02-01,Ottawa-Gatineau,Ontario part,House only,36
503,1982-02-01,Ottawa-Gatineau,Ontario part,Land only,41
504,1982-02-01,Toronto,Ontario,House only,28
505,1982-02-01,Toronto,Ontario,Land only,39
506,1982-02-01,Hamilton,Ontario,House only,27
507,1982-02-01,Hamilton,Ontario,Land only,50
508,1982-02-01,St. Catharines-Niagara,Ontario,House only,29
509,1982-02-01,St. Catharines-Niagara,Ontario,Land only,35
510,1982-02-01,Kitchener-Cambridge-Waterloo,Ontario,House only,32
511,1982-02-01,Kitchener-Cambridge-Waterloo,Ontario,Land only,44
512,1982-02-01,London,Ontario,House only,29
